name,category_b,category_s,rating,review_cnt,review_url,location,address,img
슬로우캘리 연남본점 포케 샐러드 & 그릴,식당,"다이어트,샐러드",4.6,2238.0,https://m.place.naver.com/restaurant/1090788640/review/visitor,홍대,서울 마포구 동교로38길 35 2층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210813_75%2F1628856540339wfmxV_JPEG%2FCYhNMvNARA6dgzLDd0S2XJ9D.jpg
디트로이트 피지스,식당,피자,,521.0,https://m.place.naver.com/restaurant/1342595020/review/visitor,홍대,서울 마포구 동교로46길 34 1.5층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230929_284%2F16959681604916n160_JPEG%2FIMG_20230716_145944_144.jpg
현우동 홍대,식당,"우동,소바",,120.0,https://m.place.naver.com/restaurant/1587222035/review/visitor,홍대,서울 마포구 와우산로21길 28-8 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230625_228%2F1687676584531D8KUu_JPEG%2FIMG_9439.jpg
카페 공명 연남점,식당,"카페,디저트",4.5,2270.0,https://m.place.naver.com/restaurant/1176845784/review/visitor,홍대,서울 마포구 연희로 11 1층 카페 공명 연남,
요츠야,식당,이자카야,,212.0,https://m.place.naver.com/restaurant/1775551095/review/visitor,홍대,서울 마포구 독막로5길 28 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220812_189%2F1660267612702QHSqY_JPEG%2FKakaoTalk_20220810_145837905.jpg
가메스시,식당,"초밥,롤",4.71,223.0,https://m.place.naver.com/restaurant/1092502636/review/visitor,홍대,서울 마포구 동교로 177 A동 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201116_126%2F1605511252162CnrFE_JPEG%2FMuvyox3xKefXV6MfQEnGDvdx.JPG.jpg
김현우스시 합정점,식당,"초밥,롤",,195.0,https://m.place.naver.com/restaurant/1273977813/review/visitor,홍대,서울 마포구 양화로 75 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231113_90%2F1699881557713nhVco_JPEG%2FIMG_2766.jpeg
숲길,식당,와인,,170.0,https://m.place.naver.com/restaurant/1313091121/review/visitor,홍대,서울 마포구 와우산로37길 11,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210924_252%2F1632473746534y2FU1_JPEG%2FgTXwNFJm3b85AvR2a1cAFN7r.jpg
미분당 합정점,식당,베트남음식,4.52,1416.0,https://m.place.naver.com/restaurant/1279284497/review/visitor,홍대,서울 마포구 독막로 39 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190224_128%2F1550993390247pipq6_JPEG%2FWsLqadGmZQlo-nrMstxmh6x5.jpeg.jpg
천사곱창 홍대2호점,식당,"곱창,막창,양",4.3,521.0,https://m.place.naver.com/restaurant/1797964754/review/visitor,홍대,서울 마포구 양화로6길 79 1층 천사곱창,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231206_43%2F1701841882646mJKY6_JPEG%2FIMG_6292.jpeg
서교포차,식당,요리주점,,213.0,https://m.place.naver.com/restaurant/1917290125/review/visitor,홍대,"서울 마포구 잔다리로 5 1층, 2층, 3층",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_223%2F1693991860195DQ976_JPEG%2F1000004692.jpg
주다방 서울홍대점,식당,요리주점,4.23,173.0,https://m.place.naver.com/restaurant/1644613514/review/visitor,홍대,서울 마포구 잔다리로 8-3,
