name,review_url,score
선물포장 아토공방,https://m.place.naver.com/place/1372076183/review/visitor,0.8925219774246216
정소영의 식기장,https://m.place.naver.com/place/13150248/review/visitor,0.8964360952377319
준포스터,https://m.place.naver.com/place/20027377/review/visitor,0.8346592783927917
서울옥션 강남센터,https://m.place.naver.com/place/1570438684/review/visitor,0.9925312399864196
투모로우오브젝트,https://m.place.naver.com/place/1630262275/review/visitor,0.8532047271728516
민지똥지뜨개방,https://m.place.naver.com/place/13048072/review/visitor,0.9157912731170654
케이옥션,https://m.place.naver.com/place/12420552/review/visitor,0.83431077003479
트루하트,https://m.place.naver.com/place/38239232/review/visitor,1.0005062818527222
마음도예공방,https://m.place.naver.com/place/38226357/review/visitor,0.9586750268936156
퀼트하우스,https://m.place.naver.com/place/11607210/review/visitor,0.3660762906074524
마롱컴퍼니,https://m.place.naver.com/place/37797061/review/visitor,0.9602367281913756
젠한국,https://m.place.naver.com/place/11580672/review/visitor,0.7068811655044556
김희선뜨개방,https://m.place.naver.com/place/20494552/review/visitor,0.9985947012901306
보이드빌라,https://m.place.naver.com/place/1096895109/review/visitor,1.0014283657073977
미나,https://m.place.naver.com/place/1560064249/review/visitor,0.9862189888954164
삼성화랑,https://m.place.naver.com/place/11859574/review/visitor,0.8218488693237305
국가무형문화재기능협회,https://m.place.naver.com/place/1282099742/review/visitor,0.8850359916687012
이림 갤러리,https://m.place.naver.com/place/1269508875/review/visitor,0.9128968715667723
페인티안,https://m.place.naver.com/place/35993357/review/visitor,0.731199324131012
창작연구소 쓸모,https://m.place.naver.com/place/1385344007/review/visitor,0.9848187565803528
니드엘 가죽공방,https://m.place.naver.com/place/1876521432/review/visitor,0.9665530920028688
코스모가죽학원,https://m.place.naver.com/place/1647445433/review/visitor,0.836183488368988
예원코리아 코엑스몰점,https://m.place.naver.com/place/34807323/review/visitor,0.9311100840568542
학동공원,https://m.place.naver.com/place/13491285/review/visitor,0.91718989610672
도산공원,https://m.place.naver.com/place/11622407/review/visitor,0.8148738145828247
도곡공원,https://m.place.naver.com/place/18852184/review/visitor,0.832220733165741
수서공원,https://m.place.naver.com/place/1209779727/review/visitor,1.000921368598938
논현소나무공원,https://m.place.naver.com/place/18845615/review/visitor,0.8554267883300781
논현목련공원,https://m.place.naver.com/place/18843764/review/visitor,0.9192348718643188
대치근린공원,https://m.place.naver.com/place/18819030/review/visitor,0.9804428815841676
논현은행나무공원,https://m.place.naver.com/place/18844342/review/visitor,0.9136154651641846
개포서근린공원,https://m.place.naver.com/place/18798671/review/visitor,0.8728150129318237
세곡공원,https://m.place.naver.com/place/1755017308/review/visitor,0.974948227405548
삼성은행나무공원,https://m.place.naver.com/place/18817947/review/visitor,0.7259872555732727
압구정은행공원,https://m.place.naver.com/place/18847710/review/visitor,0.8915448784828186
반고개마을마당,https://m.place.naver.com/place/33832254/review/visitor,0.9366049766540528
에스오에스노래연습장,https://m.place.naver.com/place/1593731531/review/visitor,0.801751971244812
kpop코인노래연습장 신사점,https://m.place.naver.com/place/1875995878/review/visitor,0.8285714983940125
코다,https://m.place.naver.com/place/13157664/review/visitor,0.7247453927993774
세븐스타코인노래연습장 대치점,https://m.place.naver.com/place/1728232720/review/visitor,0.8487334251403809
베카코인노래연습장,https://m.place.naver.com/place/1687091756/review/visitor,0.8519896268844604
락휴 코인노래연습장 신사역점,https://m.place.naver.com/place/1747215561/review/visitor,0.8920773267745972
