name,category_b,category_s,rating,review_cnt,review_url,location,address,img,isoutdoor
비원PC방,pc방,PC방,,41,https://m.place.naver.com/place/1832616212/review/visitor,강남,서울 광진구 아차산로 241 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231112_186%2F1699740761174hrv3X_PNG%2F%25B0%25C7%25B4%25EB_%25BA%25F1%25BF%25F8_pc%25B9%25E6_%25B8%25C0%25C0%25C7%25B0%25C5%25B8%25AE_%25C3%25BB%25C3%25E1%25B6%25DF%25B6%25F4_%25C7%25C7%25BD%25C3%25B9%25E6_%25C7%25C7%25BE%25BE%25B9%25E6.png,0
로가피씨방,pc방,PC방,,59,https://m.place.naver.com/place/1178245369/review/visitor,강남,서울 서초구 신반포로 219 반포쇼핑타운 8동 지하 1층 로가피씨방,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181127_185%2F1543299269562l6AjQ_JPEG%2F1HcqB0uEcKdSZ4C63FRoJVrR.jpg,0
크라우드PC방 교대점,pc방,PC방,4.31,76,https://m.place.naver.com/place/1540997181/review/visitor,강남,서울 서초구 서초대로 302,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221208_78%2F1670486081811jLwd8_JPEG%2F20221208_165010.jpg,0
이로운PC,pc방,PC방,,49,https://m.place.naver.com/place/1099955081/review/visitor,강남,서울 송파구 충민로2길 28 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200114_281%2F1578932170814ckq3I_JPEG%2F3R5aESlLaP47_wAsZYpkQHbk.jpg,0
에코스pc방 방이사거리점,pc방,PC방,4.32,48,https://m.place.naver.com/place/1814175194/review/visitor,강남,서울 송파구 백제고분로 454 2층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200613_194%2F1592034882406KJk1m_JPEG%2FtTZFGslrq_ctAKceu8yONjkP.jpg,0
더캠프pc,pc방,PC방,4.45,86,https://m.place.naver.com/place/1597332778/review/visitor,강남,서울 송파구 올림픽로 106 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210713_42%2F1626142554318po5bt_JPEG%2FfwHMJ84Yp-2yMkjUDZHnbUn0.jpg,0
위드매치 PC,pc방,PC방,4.5,79,https://m.place.naver.com/place/1058688881/review/visitor,강남,서울 송파구 오금로15길 16 지하1층 위드매치 PC방,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191009_197%2F1570548383957XNqY5_JPEG%2FolFFtANeJxD0jUS-B3ljsPjU.jpg,0
사이버리아PC방,pc방,PC방,4.4,76,https://m.place.naver.com/place/1129599835/review/visitor,강남,서울 광진구 광나루로56길 63 프라임 프라자상가4층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211119_154%2F1637251189996yTUJT_JPEG%2F5.jpg,0
스카이넷PC,pc방,PC방,,47,https://m.place.naver.com/place/38349641/review/visitor,강남,서울 송파구 양재대로 1222,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230318_270%2F16791425320452bI6l_JPEG%2FInkednaver_map2.jpg,0
비원PC,pc방,PC방,4.53,63,https://m.place.naver.com/place/1963845085/review/visitor,강남,서울 송파구 문정로 9 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181109_97%2F1541762460703iJHvO_JPEG%2FN18Q9Q9zt_GunADDRtCEslcH.jpg,0
